2025-03-28 01:06:08,924 - Node-2 - INFO - Initializing node 2
2025-03-28 01:06:08,924 - Node-2 - INFO - Loaded 386 log entries from disk
2025-03-28 01:06:08,925 - Node-2 - INFO - Loaded state machine with 13 items from disk
2025-03-28 01:06:08,925 - Node-2 - INFO - Loaded metadata from disk: term=1448, commit_index=385, last_applied=385
2025-03-28 01:06:08,925 - Node-2 - INFO - Initialized node 2 as FOLLOWER
2025-03-28 01:06:08,931 - RaftServer - INFO - Raft server node 2 started on localhost:50052
2025-03-28 01:06:09,087 - Node-2 - INFO - Starting election for term 1449
2025-03-28 01:06:09,374 - Node-2 - INFO - Starting election for term 1450
2025-03-28 01:06:09,542 - Node-2 - INFO - Starting election for term 1451
2025-03-28 01:06:09,597 - Node-2 - INFO - Granted vote to node 3 for term 1495
2025-03-28 01:06:09,608 - Node-2 - INFO - Received 1 entries from leader
2025-03-28 01:06:09,608 - Node-2 - INFO - Appended log entry at index 386: {'type': 'noop'}
2025-03-28 01:06:09,610 - Node-2 - INFO - Updated commit index from 385 to 386
2025-03-28 01:06:09,610 - Node-2 - INFO - Applying entries from index 386 to 386
2025-03-28 01:06:25,933 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:26,040 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:27,948 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:29,964 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:29,977 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:31,979 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:31,990 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:33,988 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:33,998 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:36,004 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:36,017 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:38,020 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:38,037 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:40,040 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:40,056 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:42,056 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:42,064 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:44,069 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:44,080 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:46,080 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:46,089 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:48,092 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:48,102 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:50,103 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:50,118 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:52,119 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:52,130 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:54,153 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:54,173 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:56,174 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:56,182 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:06:58,186 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:06:58,196 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:07:00,197 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:07:00,206 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:07:02,207 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:07:02,216 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:07:04,217 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:07:04,225 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:07:06,227 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:07:06,244 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:07:08,243 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:07:08,253 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:07:10,258 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:07:10,272 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:07:12,274 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:07:12,284 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:07:14,292 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:07:14,308 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:07:16,308 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:07:16,323 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:07:18,326 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:07:18,337 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:07:20,339 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:07:20,349 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:07:22,353 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:07:22,371 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:07:24,369 - Node-2 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-28 01:07:24,381 - Node-2 - INFO - Health check requested, reporting status: 1
2025-03-28 01:07:26,435 - RaftServer - INFO - Shutting down node 2...
2025-03-28 01:07:26,435 - RaftServer - INFO - Shutting down node 2...
