2025-03-27 23:48:53,021 - Node-3 - INFO - Initializing node 3
2025-03-27 23:48:53,021 - Node-3 - INFO - Loaded 382 log entries from disk
2025-03-27 23:48:53,021 - Node-3 - INFO - Loaded state machine with 12 items from disk
2025-03-27 23:48:53,021 - Node-3 - INFO - Loaded metadata from disk: term=1299, commit_index=381, last_applied=381
2025-03-27 23:48:53,021 - Node-3 - INFO - Initialized node 3 as FOLLOWER
2025-03-27 23:48:53,027 - RaftServer - INFO - Raft server node 3 started on localhost:50053
2025-03-27 23:48:53,040 - Node-3 - INFO - Granted vote to node 1 for term 1303
2025-03-27 23:48:53,049 - Node-3 - INFO - Received 1 entries from leader
2025-03-27 23:48:53,050 - Node-3 - INFO - Appended log entry at index 382: {'type': 'noop'}
2025-03-27 23:48:53,051 - Node-3 - INFO - Updated commit index from 381 to 382
2025-03-27 23:48:53,076 - Node-3 - INFO - Applying entries from index 382 to 382
2025-03-27 23:48:54,277 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:48:54,290 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:48:56,292 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:48:56,304 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:48:58,312 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:48:58,327 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:48:59,160 - Node-3 - INFO - Granted vote to node 5 for term 1304
2025-03-27 23:48:59,172 - Node-3 - INFO - Received 1 entries from leader
2025-03-27 23:48:59,173 - Node-3 - INFO - Appended log entry at index 383: {'type': 'noop'}
2025-03-27 23:48:59,174 - Node-3 - INFO - Updated commit index from 382 to 383
2025-03-27 23:48:59,177 - Node-3 - INFO - Applying entries from index 383 to 383
2025-03-27 23:49:00,327 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:00,336 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:02,346 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:02,365 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:04,362 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:04,374 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:06,375 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:06,382 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:08,384 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:08,396 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:10,396 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:10,406 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:12,413 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:12,431 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:14,437 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:14,449 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:16,449 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:16,456 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:18,465 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:18,477 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:20,479 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
