2025-03-27 23:48:53,545 - Node-4 - INFO - Initializing node 4
2025-03-27 23:48:53,546 - Node-4 - INFO - Loaded 382 log entries from disk
2025-03-27 23:48:53,546 - Node-4 - INFO - Loaded state machine with 5 items from disk
2025-03-27 23:48:53,546 - Node-4 - INFO - Loaded metadata from disk: term=1299, commit_index=475, last_applied=475
2025-03-27 23:48:53,546 - Node-4 - INFO - Initialized node 4 as FOLLOWER
2025-03-27 23:48:53,553 - RaftServer - INFO - Raft server node 4 started on localhost:50054
2025-03-27 23:48:53,570 - Node-4 - INFO - Received 1 entries from leader
2025-03-27 23:48:53,570 - Node-4 - INFO - Appended log entry at index 382: {'type': 'noop'}
2025-03-27 23:48:54,279 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:48:54,294 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:48:56,294 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:48:56,306 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:48:58,314 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:48:58,331 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:48:59,165 - Node-4 - INFO - Granted vote to node 5 for term 1304
2025-03-27 23:48:59,176 - Node-4 - INFO - Received 1 entries from leader
2025-03-27 23:48:59,176 - Node-4 - INFO - Appended log entry at index 383: {'type': 'noop'}
2025-03-27 23:49:00,328 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:00,344 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:02,348 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:02,368 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:04,364 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:04,378 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:06,376 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:06,384 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:08,386 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:08,401 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:10,397 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:10,408 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:12,415 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:12,435 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:14,439 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:14,453 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:16,450 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:16,458 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:18,467 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:18,481 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:20,480 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:20,494 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:22,492 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:22,503 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:24,505 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:24,517 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:26,513 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:26,525 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:28,533 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:28,550 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:30,547 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:30,558 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:32,561 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:32,571 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:34,571 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:34,585 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:36,581 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:36,590 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:38,592 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:38,603 - Node-4 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:40,604 - Node-4 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
